Time,Temperature,Humidity,Gas,PIR
2026-06-01 10:37:20,31.00,51.60,NoMotion,
2026-06-01 10:37:21,,,,624
2026-06-01 10:37:25,31.00,51.60,NoMotion,
2026-06-01 10:37:26,,,,624
2026-06-01 10:37:30,31.00,51.60,Detected,
2026-06-01 10:37:31,,,,621
2026-06-01 10:37:36,31.00,51.60,Detected,
2026-06-01 10:37:36,,,,614
2026-06-01 10:37:41,31.00,51.60,Detected,
2026-06-01 10:37:41,,,,618
2026-06-01 10:37:47,31.00,51.60,NoMotion,
2026-06-01 10:37:47,,,,612
2026-06-01 10:37:52,31.00,51.60,NoMotion,
2026-06-01 10:37:52,,,,614
2026-06-01 10:37:57,31.00,51.60,NoMotion,
2026-06-01 10:37:57,,,,617
2026-06-01 10:38:03,,,,613
2026-06-01 10:38:03,31.00,51.60,NoMotion,
2026-06-01 10:38:08,31.00,51.60,NoMotion,
2026-06-01 10:38:08,,,,615
2026-06-01 10:40:24,,,,610
2026-06-01 10:40:24,31.00,51.20,NoMotion,
2026-06-01 10:40:29,31.00,51.30,NoMotion,
2026-06-01 10:40:29,,,,608
2026-06-01 10:40:34,31.00,51.30,NoMotion,
2026-06-01 10:40:34,,,,617
2026-06-01 10:40:39,,,,608
2026-06-01 10:40:39,31.00,51.20,NoMotion,
2026-06-01 10:40:45,31.00,51.20,NoMotion,
2026-06-01 10:40:45,,,,618
2026-06-01 10:40:50,31.00,51.20,NoMotion,
2026-06-01 10:40:50,,,,610
2026-06-01 10:40:56,31.00,51.20,NoMotion,
2026-06-01 10:40:56,,,,611
2026-06-01 10:41:01,31.00,51.20,NoMotion,
2026-06-01 10:41:01,,,,611
2026-06-01 10:41:06,,,,603
2026-06-01 10:41:06,31.00,51.20,NoMotion,
2026-06-01 10:41:12,31.00,51.10,NoMotion,
2026-06-01 10:41:12,,,,610
2026-06-01 10:41:17,31.00,51.10,NoMotion,
2026-06-01 10:41:17,,,,613
2026-06-01 10:41:22,,,,615
2026-06-01 10:41:22,31.00,51.10,NoMotion,
2026-06-01 10:41:27,31.00,51.10,NoMotion,
2026-06-01 10:41:27,,,,622
2026-06-01 10:41:32,31.00,51.10,NoMotion,
2026-06-01 10:41:32,,,,614
2026-06-01 10:41:38,31.10,51.10,NoMotion,
2026-06-01 10:41:38,,,,611
2026-06-01 10:41:43,,,,607
2026-06-01 10:41:43,31.10,51.10,NoMotion,
2026-06-01 10:41:48,31.10,51.00,NoMotion,
2026-06-01 10:41:49,,,,608
2026-06-01 10:41:54,,,,618
2026-06-01 10:41:54,31.10,51.00,NoMotion,
2026-06-01 10:41:59,31.10,51.00,Detected,
2026-06-01 10:41:59,,,,636
2026-06-01 10:42:04,,,,607
2026-06-01 10:42:04,31.10,50.90,NoMotion,
2026-06-01 10:42:10,,,,609
2026-06-01 10:42:10,31.10,50.90,NoMotion,
2026-06-01 10:42:15,31.10,50.90,NoMotion,
2026-06-01 10:42:15,,,,608
2026-06-01 10:42:20,,,,607
2026-06-01 10:42:20,31.10,50.90,NoMotion,
